"BehaviorSpace results (NetLogo 6.2.0)"
"EvolvingGamePlayers.nlogo"
"experiment-Amadae-EmptyMemory-XY"
"08/02/2021 19:22:50:088 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","22","-1","22"
"[run number]","Game","Rounds","Population-Size","Perc-Group2","Opponents-Include-Own-Group?","Playing-Strategy","Initial-Populations","Initial-X","Initial-Y","Memory-Initialization","Memory-Initial-Weight-1","Memory-Initial-Weight-2","Memory-Length-1","Memory-Length-2","Unlimited-Memory?","Playing-Noise","Replicate?","Replication-Noise","Speed-1","Speed-2","Delta","Value","Value-As-Perc-Of-Cost","Punishment","Reward","Sucker","Temptation","k","My-Preference","Your-Preference","Draw-X-And-Y-Axes?","Reposition-Populations","Population-Pen-Down?","Recolor-Populations?","Calculate-Dominance?","Print-Out-Match-Results?","Seed-Setup","Seed-Go","[step]","timer","prev-seed-setup","prev-seed-go","count populations","num-pops-g1-dominant","num-pops-g2-dominant","num-pops-none-dominant","num-pops-g1-hawkish","num-pops-g2-hawkish","num-pops-none-hawkish","num-pops-with-group1-dom","num-pops-with-group2-dom","num-pops-with-groups-equal","Cost","msne","msne-payoff","group1-payoff","group2-payoff"
"12","Hawk-Dove","2000","200","30","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","240","147.588","-1805003304","-1561931909","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.110714285714286","1.325"
"11","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","316","187.394","-2004580279","-1054365361","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.6021875","0.94125"
"8","Hawk-Dove","2000","200","80","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","483","255.683","1805948268","-446784117","100","7","93","0","7","93","0","7","93","0","100","0.1","4.5","1.48875","5.4778125"
"6","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","471","256.038","1374814226","-1863195961","100","27","73","0","27","73","0","27","73","0","100","0.1","4.5","3.38125","5.587500000000001"
"4","Hawk-Dove","2000","200","40","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","445","267.297","587167361","365410194","100","72","28","0","72","28","0","72","28","0","100","0.1","4.5","5.602499999999997","3.47125"
"2","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","513","275.194","117136471","-431508527","100","93","7","0","93","7","0","93","7","0","100","0.1","4.5","5.4365625","1.55375"
"3","Hawk-Dove","2000","200","30","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","460","281.349","1404154800","-1569241314","100","89","11","0","89","11","0","89","11","0","100","0.1","4.5","5.821428571428573","2.033333333333333"
"13","Hawk-Dove","2000","200","40","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","226","284.846","-1787265181","262283419","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.730000000000002","1.7425"
"10","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","645","313.877","557274079","-1791522348","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.041111111111113","0.43"
"7","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","520","320.753","-1082481275","920839676","100","18","82","0","18","82","0","18","82","0","100","0.1","4.5","2.6466666666666665","5.587142857142856"
"14","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","225","319.352","1080876478","-1170229347","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.281499999999999","2.158499999999999"
"21","Hawk-Dove","2000","200","30","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","172","401.681","-1378040806","863802517","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.139285714285716","1.375"
"23","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","151","407.758","231359417","277312739","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.266999999999999","2.303"
"22","Hawk-Dove","2000","200","40","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","163","417.989","442119605","42310887","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.782083333333333","1.851875"
"20","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","263","437.485","710366059","-634185530","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.5846875","0.81125"
"15","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","382","453.736","-84783740","-103458503","100","93","7","0","93","7","0","93","7","0","100","0.1","4.5","7.32875","2.9391666666666665"
"5","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","822","471.295","-481667682","-1772296896","100","48","52","0","48","52","0","48","52","0","100","0.1","4.5","4.579000000000001","4.791000000000002"
"9","Hawk-Dove","2000","200","90","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","901","485.377","-12159413","-1098851231","100","24","76","0","24","76","0","24","76","0","100","0.1","4.5","2.6125","4.831944444444447"
"1","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","0","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","969","11006.3","-1833512313","1779806369","100","79","21","0","79","21","0","79","21","0","100","0.1","4.5","4.90166666666667","2.235"
"19","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","405","505.153","-1337213461","491757028","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.093888888888889","0.455"
"24","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","234","534.87","-569326231","-629077107","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.834375","2.7270833333333337"
"16","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","10","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","590","562.374","1733240170","-595873413","100","71","29","0","71","29","0","71","29","0","100","0.1","4.5","6.330833333333333","4.086785714285714"
"29","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","198","575.3","-1119237987","1631312029","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.6990625","0.82875"
"32","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","30","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","137","578.429","1445689496","-1794740998","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.2845","2.2255000000000003"
